name,address,category
Phở Ông Hùng,"Số 168, Đường 30 Tháng 4, Trung Dũng, Biên Hòa, Đồng Nai, 76118",restaurant
Quán A Tỷ,"Số 120, Đường 30 Tháng 4, Biên Hòa, Đồng Nai, 76107",chinese
Quán Mẹt,"Đường Hưng Đạo Vương, Thanh Bình, Biên Hòa, Đồng Nai, 76106",chinese
Tiệm Mì Phước Lộc,"Hẻm 214 Hà Huy Giáp, Biên Hòa, Đồng Nai, 76107",restaurant
Quán Cơm 127,"Số 127, Đường Hà Huy Giáp, Biên Hòa, Đồng Nai, 76107",restaurant
Phở Tuyền-Cơ Sở 2,"Số 182B, Đường 30 Tháng 4, Thanh Bình, Biên Hòa, Đồng Nai, 76106",restaurant
Chè Thái Lan 280,"Số 247, Đường 30 Tháng 4, Trung Dũng, Biên Hòa, Đồng Nai, 76118",restaurant
Bò Beefsteak,"Đường 30 Tháng 4, Biên Hòa, Đồng Nai, 76107",restaurant
Quán Mì A Hùng,"Đường Hưng Đạo Vương, Biên Hòa, Đồng Nai, 76107",chinese
Bún Mắm Ngọc Thủy,"Đường 30 Tháng 4, Biên Hòa, Đồng Nai, 76106",restaurant
